+----------------+-----+---+---+---+-----+---+---+---+---+----+-----------+---+---+-----+---+-----+---+---+---+---+-----+--------------+---+-----+---+------------+---+---+---+----------+---+---+---+---+-----+---+----+---+---+---+---+---+---+---+----+---+----+---+----------+---+---+---+
| Est/Simb       | A   | 9 | r | v | ;   | l | 2 | a | g | G  | T         | q | h | L   | k | U   | x | 8 | z | o | S   | E            | c | F   | f | =          | 3 | 0 | p | N        | 7 | m | s | e | R   | w | H  | 4 | j | n | t | 6 | i | u | B  | d | I  | b | D        | 1 | 5 | y |
+----------------+-----+---+---+---+-----+---+---+---+---+----+-----------+---+---+-----+---+-----+---+---+---+---+-----+--------------+---+-----+---+------------+---+---+---+----------+---+---+---+---+-----+---+----+---+---+---+---+---+---+---+----+---+----+---+----------+---+---+---+
| S              | -   | Z | V | V | 116 | V | Z | V | V | -  | [91, 104] | V | V | 101 | V | -   | V | Z | V | V | -   | [83, 86, 97] | V | 108 | V | [113, 114] | Z | Z | V | -        | Z | V | V | V | -   | V | -  | Z | V | V | V | Z | V | V | 78 | V | 95 | V | -        | Z | Z | V |
| 107 *          | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 108            | 109 | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 109            | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | 110 | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 110            | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | 111 | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 111            | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | 112          | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 112 *          | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 115 *          | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 116 *          | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| V *            | -   | V | V | V | -   | V | V | V | V | -  | -         | V | V | -   | V | -   | V | V | V | V | -   | -            | V | -   | V | -          | V | V | V | -        | V | V | V | V | -   | V | -  | V | V | V | V | V | V | V | -  | V | -  | V | -        | V | V | V |
| Z *            | -   | Z | - | - | -   | - | Z | - | - | -  | -         | - | - | -   | - | -   | - | Z | - | - | -   | -            | - | -   | - | -          | Z | Z | - | -        | Z | - | - | - | -   | - | -  | Z | - | - | - | Z | - | - | -  | - | -  | - | -        | Z | Z | - |
| [83, 86, 97] * | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | 98  | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | [84, 87] | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| [91, 104]      | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | 105 | - | 92 | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| [113, 114] *   | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | 115        | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| [84, 87]       | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | [85, 88] | - | - | - |
| [85, 88] *     | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | 89 | - | -        | - | - | - |
+----------------+-----+---+---+---+-----+---+---+---+---+----+-----------+---+---+-----+---+-----+---+---+---+---+-----+--------------+---+-----+---+------------+---+---+---+----------+---+---+---+---+-----+---+----+---+---+---+---+---+---+---+----+---+----+---+----------+---+---+---+
